Type;FSWP-8;
0.1548816562;0.0000126142;
0.1566751003;0.0000126908;
0.1584893167;0.0000127680;
0.1603245288;0.0000128049;
0.1621810049;0.0000128284;
0.1640589684;0.0000128519;
0.1659587026;0.0000127848;
0.1678804159;0.0000127083;
0.1698243767;0.0000126182;
0.1717908382;0.0000124466;
0.1737800837;0.0000122774;
0.1757923663;0.0000120836;
0.1778279394;0.0000118633;
0.1798870862;0.0000116471;
0.1819700748;0.0000114313;
0.1840771884;0.0000112190;
0.1862087101;0.0000110234;
0.1883648932;0.0000108533;
0.1905460656;0.0000106858;
0.1927525103;0.0000105585;
0.1949844658;0.0000104361;
0.1972422749;0.0000103265;
0.1995262355;0.0000102278;
0.2018366456;0.0000101302;
0.2041737884;0.0000100345;
0.2065380216;0.0000099397;
0.2089296132;0.0000098486;
0.2113488913;0.0000097585;
0.2137961984;0.0000096903;
0.2162718475;0.0000096291;
0.2187761515;0.0000096049;
0.2213094831;0.0000096035;
0.2238721251;0.0000096392;
0.2264644355;0.0000097088;
0.2290867716;0.0000097994;
0.2317394763;0.0000099133;
0.2344228774;0.0000100204;
0.2371373773;0.0000101199;
0.2398832887;0.0000101791;
0.2426609993;0.0000102022;
0.2454708815;0.0000101567;
0.2483132929;0.0000100702;
0.2511886358;0.0000099097;
0.2540972531;0.0000097280;
0.2570396066;0.0000095075;
0.2600159645;0.0000092923;
0.2630268037;0.0000091041;
0.2660725117;0.0000089459;
0.2691534758;0.0000088326;
0.2722701430;0.0000087524;
0.2754228711;0.0000086891;
0.2786121070;0.0000086117;
0.2818382978;0.0000085127;
0.2851018012;0.0000083690;
0.2884031236;0.0000081753;
0.2917426825;0.0000079600;
0.2951209545;0.0000077193;
0.2985382676;0.0000075002;
0.3019951880;0.0000072992;
0.3054921329;0.0000071739;
0.3090295494;0.0000070910;
0.3126079440;0.0000070509;
0.3162277639;0.0000070838;
0.3198895156;0.0000071519;
0.3235936463;0.0000072573;
0.3273406923;0.0000074205;
0.3311311305;0.0000076287;
0.3349654377;0.0000078734;
0.3388441503;0.0000081547;
0.3427677751;0.0000084458;
0.3467368484;0.0000087119;
0.3507518768;0.0000089293;
0.3548133969;0.0000090621;
0.3589219451;0.0000090442;
0.3630780578;0.0000089179;
0.3672823012;0.0000087046;
0.3715352118;0.0000084359;
0.3758373857;0.0000081597;
0.3801894188;0.0000079507;
0.3845917881;0.0000078340;
0.3890451491;0.0000078091;
0.3935500681;0.0000078572;
0.3981071711;0.0000079416;
0.4027170241;0.0000080159;
0.4073802829;0.0000080256;
0.4120975137;0.0000079559;
0.4168694019;0.0000078157;
0.4216965139;0.0000076332;
0.4265795052;0.0000074457;
0.4315190613;0.0000072801;
0.4365158081;0.0000071378;
0.4415704608;0.0000069964;
0.4466835856;0.0000068328;
0.4518559575;0.0000066477;
0.4570881724;0.0000064723;
0.4623810053;0.0000063878;
0.4677351415;0.0000063372;
0.4731512666;0.0000064038;
0.4786300957;0.0000065814;
0.4841723740;0.0000068352;
0.4897788167;0.0000070992;
0.4954501688;0.0000072744;
0.5011872053;0.0000071806;
0.5069907308;0.0000070439;
0.5128613710;0.0000069516;
0.5188000202;0.0000069594;
0.5248074532;0.0000070406;
0.5308844447;0.0000071244;
0.5370317698;0.0000071538;
0.5432503223;0.0000070279;
0.5495408773;0.0000068436;
0.5559042692;0.0000067628;
0.5623413324;0.0000066963;
0.5688529015;0.0000066168;
0.5754399300;0.0000063841;
0.5821031928;0.0000061099;
0.5888436437;0.0000060175;
0.5956621766;0.0000060873;
0.6025595665;0.0000063155;
0.6095368862;0.0000064476;
0.6165950298;0.0000063612;
0.6237348318;0.0000060285;
0.6309573650;0.0000057271;
0.6382635236;0.0000053069;
0.6456542611;0.0000051634;
0.6531305313;0.0000053179;
0.6606934667;0.0000056681;
0.6683439016;0.0000059518;
0.6760829687;0.0000060008;
0.6839116216;0.0000059034;
0.6918309927;0.0000057539;
0.6998419762;0.0000055918;
0.7079457641;0.0000054305;
0.7161434293;0.0000053630;
0.7244359851;0.0000054833;
0.7328245044;0.0000056755;
0.7413102388;0.0000057591;
0.7498942018;0.0000057904;
0.7585775852;0.0000058282;
0.7673614621;0.0000059335;
0.7762471437;0.0000060783;
0.7852356434;0.0000060739;
0.7943282127;0.0000058446;
0.8035261035;0.0000054805;
0.8128305078;0.0000051228;
0.8222426772;0.0000051770;
0.8317638040;0.0000054150;
0.8413951397;0.0000055853;
0.8511380553;0.0000056093;
0.8609937429;0.0000056276;
0.8709635735;0.0000057957;
0.8810488582;0.0000060295;
0.8912509084;0.0000060880;
0.9015711546;0.0000057895;
0.9120108485;0.0000053946;
0.9225714207;0.0000053366;
0.9332543015;0.0000053906;
0.9440608621;0.0000050332;
0.9549925923;0.0000044482;
0.9660508633;0.0000042614;
0.9772372246;0.0000045193;
0.9885531068;0.0000048941;
1.0000000000;0.0000050169;
1.0115795135;0.0000050120;
1.0232930183;0.0000049914;
1.0351421833;0.0000049563;
1.0471285582;0.0000049074;
1.0592536926;0.0000048537;
1.0715192556;0.0000048132;
1.0839269161;0.0000047807;
1.0964782238;0.0000047706;
1.1091748476;0.0000047711;
1.1220184565;0.0000047800;
1.1350108385;0.0000047906;
1.1481536627;0.0000047999;
1.1614485979;0.0000048057;
1.1748975515;0.0000048085;
1.1885021925;0.0000048093;
1.2022644281;0.0000048060;
1.2161860466;0.0000047988;
1.2302688360;0.0000047884;
1.2445145845;0.0000047706;
1.2589254379;0.0000047475;
1.2735030651;0.0000047192;
1.2882494926;0.0000046812;
1.3031667471;0.0000046317;
1.3182567358;0.0000045727;
1.3335214853;0.0000045018;
1.3489629030;0.0000044285;
1.3645831347;0.0000043651;
1.3803843260;0.0000043152;
1.3963683844;0.0000042856;
1.4125375748;0.0000042660;
1.4288939238;0.0000042508;
1.4454398155;0.0000042429;
1.4621771574;0.0000042494;
1.4791084528;0.0000042884;
1.4962356091;0.0000043373;
1.5135612488;0.0000043745;
1.5310875177;0.0000043817;
1.5488165617;0.0000043490;
1.5667510033;0.0000042876;
1.5848932266;0.0000042313;
1.6032453775;0.0000041918;
1.6218100786;0.0000041635;
1.6405898333;0.0000041359;
1.6595869064;0.0000041031;
1.6788040400;0.0000040692;
1.6982436180;0.0000040397;
1.7179083824;0.0000039919;
1.7378008366;0.0000038399;
1.7579236031;0.0000033850;
1.7782794237;0.0000023315;
1.7988709211;0.0000016717;
1.8197008371;0.0000026183;
1.8407719135;0.0000028051;
1.8620871305;0.0000017383;
1.8836491108;0.0000023639;
1.9054607153;0.0000032435;
1.9275249243;0.0000035471;
1.9498445988;0.0000035854;
1.9724227190;0.0000035722;
1.9952623844;0.0000035957;
2.0183663368;0.0000036676;
2.0417380333;0.0000037805;
2.0653800964;0.0000039370;
2.0892961025;0.0000039956;
2.1134889126;0.0000039530;
2.1379621029;0.0000038651;
2.1627185345;0.0000037775;
2.1877615452;0.0000037289;
2.2130947113;0.0000037132;
2.2387211323;0.0000036995;
2.2646441460;0.0000036718;
2.2908678055;0.0000036402;
2.3173947334;0.0000036438;
2.3442287445;0.0000036977;
2.3713736534;0.0000037138;
2.3988327980;0.0000036811;
2.4266099930;0.0000036131;
2.4547088146;0.0000036158;
2.4831330776;0.0000036685;
2.5118863583;0.0000037052;
2.5409727097;0.0000036875;
2.5703957081;0.0000036551;
2.6001594067;0.0000035517;
2.6302678585;0.0000034260;
2.6607251167;0.0000033181;
2.6915347576;0.0000032769;
2.7227013111;0.0000032994;
2.7542285919;0.0000032841;
2.7861211300;0.0000032129;
2.8183827400;0.0000032199;
2.8510184288;0.0000033573;
2.8840315342;0.0000034539;
2.9174270630;0.0000033908;
2.9512093067;0.0000031959;
2.9853825569;0.0000030722;
3.0199515820;0.0000031497;
3.0549211502;0.0000031248;
3.0902955532;0.0000031026;
3.1260793209;0.0000030812;
3.1622776985;0.0000030580;
3.1988949776;0.0000030314;
3.2359364033;0.0000030021;
3.2734067440;0.0000029729;
3.3113110065;0.0000029487;
3.3496541977;0.0000029349;
3.3884413242;0.0000029356;
3.4276781082;0.0000029505;
3.4673686028;0.0000029814;
3.5075187683;0.0000030358;
3.5481340885;0.0000031209;
3.5892193317;0.0000032288;
3.6307804585;0.0000033305;
3.6728229523;0.0000033902;
3.7153522968;0.0000033662;
3.7583739758;0.0000032969;
3.8018937111;0.0000032163;
3.8459177017;0.0000031486;
3.8904511929;0.0000030986;
3.9355010986;0.0000030621;
3.9810719490;0.0000030358;
4.0271706581;0.0000030191;
4.0738029480;0.0000030119;
4.1209754944;0.0000030130;
4.1686940193;0.0000030202;
4.2169651985;0.0000030178;
4.2657952309;0.0000030122;
4.3151907921;0.0000030149;
4.3651580811;0.0000030142;
4.4157042503;0.0000030126;
4.4668354988;0.0000030132;
4.5185589790;0.0000030071;
4.5708823204;0.0000030133;
4.6238102913;0.0000030345;
4.6773514748;0.0000030543;
4.7315125465;0.0000030498;
4.7863011360;0.0000030211;
4.8417239189;0.0000030000;
4.8977880478;0.0000029455;
4.9545016289;0.0000028949;
5.0118722916;0.0000028779;
5.0699067116;0.0000028436;
5.1286134720;0.0000028122;
5.1880002022;0.0000027506;
5.2480750084;0.0000026056;
5.3088445663;0.0000024587;
5.3703184128;0.0000024664;
5.4325037003;0.0000028652;
5.4954090118;0.0000031041;
5.5590424538;0.0000029233;
5.6234130859;0.0000024700;
5.6885290146;0.0000023452;
5.7543992996;0.0000024896;
5.8210320473;0.0000024862;
5.8884363174;0.0000024397;
5.9566211700;0.0000024277;
6.0255956650;0.0000024170;
6.0953693390;0.0000023612;
6.1659502983;0.0000022446;
6.2373485565;0.0000022195;
6.3095736504;0.0000022609;
6.3826351166;0.0000022814;
6.4565424919;0.0000023010;
6.5313053131;0.0000023562;
6.6069345474;0.0000024364;
6.6834387779;0.0000025704;
6.7608294487;0.0000027183;
6.8391160965;0.0000028233;
6.9183092117;0.0000028986;
6.9984202385;0.0000029918;
7.0794582367;0.0000031096;
7.1614346504;0.0000032950;
7.2443599701;0.0000036044;
7.3282456398;0.0000038759;
7.4131026268;0.0000039744;
7.4989418983;0.0000039538;
7.5857758522;0.0000039618;
7.6736145020;0.0000039927;
7.7624707222;0.0000039967;
7.8523559570;0.0000040133;
7.9432821274;0.0000040155;
8.0352611542;0.0000039343;
8.1283054352;0.0000037559;
8.2224273682;0.0000034359;
8.3176383972;0.0000031396;
8.4139518738;0.0000030016;
8.5113801956;0.0000029388;
8.6099376678;0.0000029684;
8.7096357346;0.0000030459;
8.8104887009;0.0000029991;
8.9125089645;0.0000028953;
9.0157108307;0.0000029131;
9.1201076508;0.0000029796;
9.2257137299;0.0000029705;
9.3325433731;0.0000029785;
9.4406089783;0.0000033746;
9.5499258041;0.0000041600;
9.6605091095;0.0000047015;
9.7723722458;0.0000043872;
9.8855314255;0.0000035395;
10.0000000000;0.0000033898;
10.1157941818;0.0000032642;
10.2329292297;0.0000031414;
10.3514213562;0.0000030244;
10.4712848663;0.0000029349;
10.5925369263;0.0000028694;
10.7151927948;0.0000028215;
10.8392686844;0.0000027891;
10.9647808075;0.0000027607;
11.0917472839;0.0000027293;
11.2201833725;0.0000026937;
11.3501071930;0.0000026530;
11.4815349579;0.0000026140;
11.6144876480;0.0000025844;
11.7489767075;0.0000025687;
11.8850231171;0.0000025702;
12.0226459503;0.0000025906;
12.1618614197;0.0000026210;
12.3026885986;0.0000026529;
12.4451465607;0.0000026827;
12.5892543793;0.0000027092;
12.7350311279;0.0000027333;
12.8824958801;0.0000027574;
13.0316677094;0.0000027810;
13.1825675964;0.0000028001;
13.3352146149;0.0000028093;
13.4896287918;0.0000028046;
13.6458311081;0.0000027845;
13.8038425446;0.0000027511;
13.9636831284;0.0000027103;
14.1253747940;0.0000026706;
14.2889385223;0.0000026398;
14.4543962479;0.0000026198;
14.6217708588;0.0000026056;
14.7910823822;0.0000026023;
14.9623546600;0.0000025897;
15.1356105804;0.0000025929;
15.3108730316;0.0000026343;
15.4881677628;0.0000027266;
15.6675128937;0.0000028569;
15.8489332199;0.0000030228;
16.0324554443;0.0000030958;
16.2181015015;0.0000030726;
16.4058990479;0.0000029984;
16.5958709717;0.0000029030;
16.7880401611;0.0000028242;
16.9824371338;0.0000027909;
17.1790847778;0.0000028095;
17.3780078888;0.0000028774;
17.5792369843;0.0000029396;
17.7827949524;0.0000029642;
17.9887084961;0.0000029642;
18.1970081329;0.0000029438;
18.4077186584;0.0000028858;
18.6208705902;0.0000028825;
18.8364906311;0.0000029723;
19.0546054840;0.0000031626;
19.2752475739;0.0000032872;
19.4984436035;0.0000032685;
19.7242259979;0.0000030795;
19.9526214600;0.0000028857;
20.1836605072;0.0000028582;
20.4173774719;0.0000029316;
20.6538047791;0.0000030322;
20.8929634094;0.0000030737;
21.1348934174;0.0000030558;
21.3796234131;0.0000030254;
21.6271877289;0.0000030449;
21.8776187897;0.0000031040;
22.1309490204;0.0000031624;
22.3872127533;0.0000031930;
22.6464443207;0.0000032050;
22.9086780548;0.0000032184;
23.1739463806;0.0000031942;
23.4422893524;0.0000030403;
23.7137374878;0.0000029026;
23.9883289337;0.0000028383;
24.2660999298;0.0000028379;
24.5470886230;0.0000028595;
24.8313293457;0.0000028442;
25.1188621521;0.0000028294;
25.4097251892;0.0000028677;
25.7039566040;0.0000029012;
26.0015926361;0.0000028741;
26.3026771545;0.0000028843;
26.6072483063;0.0000029511;
26.9153442383;0.0000030089;
27.2270088196;0.0000032730;
27.5422897339;0.0000040666;
27.8612155914;0.0000046994;
28.1838321686;0.0000045944;
28.5101852417;0.0000042132;
28.8403167725;0.0000041239;
29.1742725372;0.0000039746;
29.5120944977;0.0000035524;
29.8538284302;0.0000031747;
30.1995182037;0.0000035179;
30.5492115021;0.0000034373;
30.9029541016;0.0000034069;
31.2607936859;0.0000033855;
31.6227760315;0.0000034035;
31.9889507294;0.0000034282;
32.3593635559;0.0000034674;
32.7340698242;0.0000035102;
33.1131095886;0.0000035571;
33.4965438843;0.0000036130;
33.8844146729;0.0000036735;
34.2767753601;0.0000037525;
34.6736831665;0.0000038349;
35.0751838684;0.0000039211;
35.4813346863;0.0000039928;
35.8921890259;0.0000040511;
36.3078002930;0.0000040684;
36.7282333374;0.0000040722;
37.1535263062;0.0000040535;
37.5837440491;0.0000040334;
38.0189437866;0.0000040132;
38.4591827393;0.0000039980;
38.9045181274;0.0000039806;
39.3550109863;0.0000039611;
39.8107185364;0.0000039350;
40.2717056274;0.0000039107;
40.7380294800;0.0000038901;
41.2097511292;0.0000038889;
41.6869392395;0.0000039322;
42.1696510315;0.0000040385;
42.6579513550;0.0000042696;
43.1519050598;0.0000046968;
43.6515808105;0.0000052373;
44.1570434570;0.0000058597;
44.6683578491;0.0000064065;
45.1855926514;0.0000067099;
45.7088165283;0.0000067564;
46.2380981445;0.0000065451;
46.7735099792;0.0000061208;
47.3151206970;0.0000056938;
47.8630027771;0.0000055156;
48.4172286987;0.0000056174;
48.9778900146;0.0000059432;
49.5450248718;0.0000062956;
50.1187286377;0.0000063593;
50.6990776062;0.0000060435;
51.2861442566;0.0000054875;
51.8800086975;0.0000048925;
52.4807510376;0.0000044230;
53.0884475708;0.0000041409;
53.7031822205;0.0000040136;
54.3250350952;0.0000039857;
54.9540901184;0.0000040399;
55.5904273987;0.0000041683;
56.2341308594;0.0000043229;
56.8852920532;0.0000044545;
57.5439910889;0.0000045307;
58.2103195190;0.0000045311;
58.8843612671;0.0000044697;
59.5662117004;0.0000043885;
60.2559547424;0.0000044044;
60.9536857605;0.0000044925;
61.6594963074;0.0000045927;
62.3734779358;0.0000046562;
63.0957260132;0.0000046788;
63.8263397217;0.0000046891;
64.5654144287;0.0000047174;
65.3130645752;0.0000047725;
66.0693511963;0.0000048552;
66.8343963623;0.0000050494;
67.6083068848;0.0000053532;
68.3911743164;0.0000056943;
69.1831054688;0.0000065456;
69.9842071533;0.0000087594;
70.7945785522;0.0000126357;
71.6143417358;0.0000190313;
72.4435958862;0.0000220193;
73.2824554443;0.0000205536;
74.1310272217;0.0000169987;
74.9894180298;0.0000114367;
75.8577575684;0.0000081142;
76.7361450195;0.0000074386;
77.6247100830;0.0000072824;
78.5235595703;0.0000075762;
79.4328155518;0.0000079297;
80.3526077271;0.0000085852;
81.2830429077;0.0000095422;
82.2242584229;0.0000103900;
83.1763687134;0.0000113379;
84.1395034790;0.0000115913;
85.1137924194;0.0000109273;
86.0993652344;0.0000099040;
87.0963668823;0.0000102146;
88.1048965454;0.0000139488;
89.1251068115;0.0000196273;
90.1571197510;0.0000219856;
91.2010955811;0.0000197450;
92.2571487427;0.0000175962;
93.3254394531;0.0000162538;
94.4060897827;0.0000115827;
95.4992599487;0.0000078955;
96.6050872803;0.0000069172;
97.7237243652;0.0000069600;
98.8553085327;0.0000073155;
100.0000000000;0.0000085704;
101.1579742432;0.0000082229;
102.3292999268;0.0000080971;
103.5142440796;0.0000081711;
104.7128524780;0.0000083930;
105.9253921509;0.0000086552;
107.1519241333;0.0000088811;
108.3927154541;0.0000090226;
109.6478118896;0.0000090568;
110.9175033569;0.0000088872;
112.2018356323;0.0000086332;
113.5010986328;0.0000082403;
114.8153457642;0.0000078127;
116.1448745728;0.0000073904;
117.4897384644;0.0000070384;
118.8502349854;0.0000067951;
120.2264251709;0.0000066363;
121.6186141968;0.0000066153;
123.0268554688;0.0000066597;
124.4514694214;0.0000067415;
125.8925170898;0.0000068422;
127.3503112793;0.0000069307;
128.8249206543;0.0000070099;
130.3166809082;0.0000070803;
131.8256378174;0.0000071506;
133.3521423340;0.0000072284;
134.8963165283;0.0000073150;
136.4583129883;0.0000074129;
138.0384674072;0.0000075330;
139.6368255615;0.0000076798;
141.2537841797;0.0000078428;
142.8893890381;0.0000080069;
144.5440063477;0.0000081500;
146.2176971436;0.0000082399;
147.9108581543;0.0000082945;
149.6235504150;0.0000083433;
151.3561553955;0.0000084032;
153.1087188721;0.0000084759;
154.8816833496;0.0000085434;
156.6750793457;0.0000085771;
158.4893341064;0.0000085561;
160.3245086670;0.0000085056;
162.1810302734;0.0000084800;
164.0589447021;0.0000085886;
165.9586944580;0.0000089832;
167.8803710938;0.0000097517;
169.8243713379;0.0000107836;
171.7908020020;0.0000117434;
173.7800903320;0.0000122488;
175.7923126221;0.0000121278;
177.8279418945;0.0000118994;
179.8871459961;0.0000111180;
181.9700775146;0.0000103688;
184.0772399902;0.0000097874;
186.2087097168;0.0000091982;
188.3649444580;0.0000089258;
190.5460662842;0.0000089467;
192.7525329590;0.0000090305;
194.9844360352;0.0000091473;
197.2423095703;0.0000092778;
199.5262145996;0.0000093899;
201.8366699219;0.0000094506;
204.1737670898;0.0000094595;
206.5380401611;0.0000094237;
208.9295806885;0.0000094729;
211.3489227295;0.0000095742;
213.7961730957;0.0000096665;
216.2718658447;0.0000097598;
218.7761230469;0.0000099102;
221.3094787598;0.0000101119;
223.8720703125;0.0000102530;
226.4644470215;0.0000103336;
229.0867156982;0.0000103170;
231.7394714355;0.0000103060;
234.4228210449;0.0000103947;
237.1373748779;0.0000106166;
239.8833618164;0.0000109099;
242.6610107422;0.0000110587;
245.4709472656;0.0000109794;
248.3132934570;0.0000108137;
251.1887054443;0.0000107668;
254.0972595215;0.0000108190;
257.0396423340;0.0000109390;
260.0159301758;0.0000110844;
263.0268554688;0.0000112012;
266.0724792480;0.0000112749;
269.1535339355;0.0000113613;
272.2700805664;0.0000115304;
275.4229125977;0.0000117968;
278.6120605469;0.0000121558;
281.8383178711;0.0000132164;
285.1017761230;0.0000153316;
288.4031677246;0.0000175757;
291.7426452637;0.0000176290;
295.1209411621;0.0000156054;
298.5382080078;0.0000137770;
301.9951782227;0.0000135637;
305.4920349121;0.0000133695;
309.0295410156;0.0000132815;
312.6078491211;0.0000132190;
316.2277526855;0.0000132701;
319.8895874023;0.0000133425;
323.5936584473;0.0000134622;
327.3407592773;0.0000135896;
331.1311035156;0.0000137255;
334.9655151367;0.0000138621;
338.8441467285;0.0000139998;
342.7678527832;0.0000141320;
346.7368164062;0.0000142613;
350.7519226074;0.0000143785;
354.8133544922;0.0000144857;
358.9219970703;0.0000145842;
363.0780029297;0.0000146769;
367.2823486328;0.0000147747;
371.5351867676;0.0000148886;
375.8374328613;0.0000150296;
380.1893310547;0.0000151878;
384.5918273926;0.0000153698;
389.0450744629;0.0000155460;
393.5501098633;0.0000157164;
398.1070861816;0.0000158585;
402.7170410156;0.0000160011;
407.3801879883;0.0000161492;
412.0975341797;0.0000163428;
416.8692626953;0.0000165811;
421.6965026855;0.0000168487;
426.5796203613;0.0000171338;
431.5190734863;0.0000173786;
436.5159301758;0.0000175775;
441.5704345703;0.0000177264;
446.6836853027;0.0000178247;
451.8559265137;0.0000179192;
457.0882873535;0.0000180308;
462.3809814453;0.0000181676;
467.7352294922;0.0000183319;
473.1512145996;0.0000185105;
478.6301574707;0.0000186922;
484.1723022461;0.0000188760;
489.7788696289;0.0000190589;
495.4501037598;0.0000192347;
501.1872863770;0.0000193876;
506.9906311035;0.0000195255;
512.8614501953;0.0000196834;
518.7999267578;0.0000198917;
524.8074951172;0.0000201585;
530.8843383789;0.0000204639;
537.0317993164;0.0000207727;
543.2501831055;0.0000210571;
549.5408935547;0.0000213024;
555.9041137695;0.0000214994;
562.3413085938;0.0000216577;
568.8530883789;0.0000218040;
575.4399414062;0.0000219620;
582.1033325195;0.0000221463;
588.8436279297;0.0000223605;
595.6622924805;0.0000225840;
602.5595703125;0.0000227870;
609.5369873047;0.0000229384;
616.5949707031;0.0000230618;
623.7349243164;0.0000232225;
630.9572753906;0.0000234668;
638.2636108398;0.0000237756;
645.6541137695;0.0000240924;
653.1306152344;0.0000243806;
660.6933593750;0.0000246480;
668.3439941406;0.0000249437;
676.0828857422;0.0000252792;
683.9116821289;0.0000255701;
691.8308105469;0.0000258348;
699.8420410156;0.0000261241;
707.9456176758;0.0000264635;
716.1434326172;0.0000268479;
724.4357910156;0.0000272756;
732.8245239258;0.0000277622;
741.3100585938;0.0000282773;
749.8942260742;0.0000287167;
758.5777587891;0.0000289553;
767.3614501953;0.0000291371;
776.2473144531;0.0000291548;
785.2355957031;0.0000291964;
794.3284301758;0.0000294188;
803.5260620117;0.0000296478;
812.8306884766;0.0000299398;
822.2425537109;0.0000303570;
831.7639160156;0.0000309227;
841.3950195312;0.0000314740;
851.1381835938;0.0000320525;
860.9936523438;0.0000326671;
870.9636840820;0.0000329591;
881.0487670898;0.0000329579;
891.2510375977;0.0000330801;
901.5709838867;0.0000332914;
912.0109252930;0.0000333865;
922.5712280273;0.0000337021;
933.2543334961;0.0000344705;
944.0606689453;0.0000352524;
954.9926147461;0.0000356914;
966.0506591797;0.0000361055;
977.2372436523;0.0000364520;
988.5528564453;0.0000365261;
1000.0000000000;0.0000370640;
1011.5797119141;0.0000372485;
1023.2929687500;0.0000374753;
1035.1424560547;0.0000377429;
1047.1285400391;0.0000381099;
1059.2539062500;0.0000385158;
1071.5192871094;0.0000390086;
1083.9271240234;0.0000395091;
1096.4781494141;0.0000400177;
1109.1750488281;0.0000404728;
1122.0183105469;0.0000409052;
1135.0109863281;0.0000412921;
1148.1534423828;0.0000416963;
1161.4487304688;0.0000421259;
1174.8973388672;0.0000426561;
1188.5023193359;0.0000432718;
1202.2642822266;0.0000439518;
1216.1861572266;0.0000446869;
1230.2685546875;0.0000453859;
1244.5146484375;0.0000460328;
1258.9251708984;0.0000465629;
1273.5031738281;0.0000469652;
1288.2492675781;0.0000473194;
1303.1667480469;0.0000476518;
1318.2563476562;0.0000480600;
1333.5214843750;0.0000485652;
1348.9632568359;0.0000491380;
1364.5831298828;0.0000497551;
1380.3846435547;0.0000503540;
1396.3682861328;0.0000509019;
1412.5378417969;0.0000514128;
1428.8939208984;0.0000518983;
1445.4400634766;0.0000523752;
1462.1770019531;0.0000528543;
1479.1086425781;0.0000533376;
1496.2354736328;0.0000538364;
1513.5615234375;0.0000543716;
1531.0872802734;0.0000549658;
1548.8167724609;0.0000556312;
1566.7508544922;0.0000563489;
1584.8933105469;0.0000570491;
1603.2451171875;0.0000576745;
1621.8101806641;0.0000582366;
1640.5894775391;0.0000588079;
1659.5870361328;0.0000594748;
1678.8035888672;0.0000602779;
1698.2437744141;0.0000611900;
1717.9079589844;0.0000621538;
1737.8009033203;0.0000631419;
1757.9230957031;0.0000641645;
1778.2794189453;0.0000650941;
1798.8713378906;0.0000661458;
1819.7008056641;0.0000670833;
1840.7724609375;0.0000678158;
1862.0870361328;0.0000682013;
1883.6495361328;0.0000686068;
1905.4605712891;0.0000693216;
1927.5252685547;0.0000701278;
1949.8444824219;0.0000709275;
1972.4230957031;0.0000717218;
1995.2620849609;0.0000726358;
2018.3666992188;0.0000737821;
2041.7376708984;0.0000750988;
2065.3803710938;0.0000764356;
2089.2958984375;0.0000773053;
2113.4892578125;0.0000780415;
2137.9616699219;0.0000788019;
2162.7187500000;0.0000795260;
2187.7612304688;0.0000799761;
2213.0949707031;0.0000804637;
2238.7207031250;0.0000812404;
2264.6442871094;0.0000820485;
2290.8671875000;0.0000827168;
2317.3947753906;0.0000834999;
2344.2282714844;0.0000845257;
2371.3737792969;0.0000855505;
2398.8334960938;0.0000862972;
2426.6101074219;0.0000869651;
2454.7094726562;0.0000873920;
2483.1330566406;0.0000880420;
2511.8869628906;0.0000895490;
2540.9726562500;0.0000916354;
2570.3962402344;0.0000934285;
2600.1594238281;0.0000944025;
2630.2685546875;0.0000947609;
2660.7248535156;0.0000952525;
2691.5351562500;0.0000959225;
2722.7009277344;0.0000966145;
2754.2290039062;0.0000979357;
2786.1208496094;0.0001002162;
2818.3833007812;0.0001027667;
2851.0178222656;0.0001042487;
2884.0317382812;0.0001045808;
2917.4265136719;0.0001054549;
2951.2094726562;0.0001073771;
2985.3820800781;0.0001090847;
3019.9519042969;0.0001077854;
3054.9204101562;0.0001093340;
3090.2954101562;0.0001109244;
3126.0786132812;0.0001125470;
3162.2775878906;0.0001142353;
3198.8959960938;0.0001159383;
3235.9365234375;0.0001176433;
3273.4077148438;0.0001193167;
3311.3110351562;0.0001209520;
3349.6550292969;0.0001224626;
3388.4414062500;0.0001239262;
3427.6784667969;0.0001251282;
3467.3681640625;0.0001262721;
3507.5192871094;0.0001272421;
3548.1335449219;0.0001282266;
3589.2199707031;0.0001292251;
3630.7800292969;0.0001304460;
3672.8234863281;0.0001317521;
3715.3518066406;0.0001332000;
3758.3745117188;0.0001345530;
3801.8933105469;0.0001358301;
3845.9182128906;0.0001368114;
3890.4506835938;0.0001377756;
3935.5009765625;0.0001387473;
3981.0708007812;0.0001401367;
4027.1704101562;0.0001418432;
4073.8017578125;0.0001438268;
4120.9750976562;0.0001459932;
4168.6928710938;0.0001480020;
4216.9648437500;0.0001498395;
4265.7963867188;0.0001513943;
4315.1904296875;0.0001528852;
4365.1591796875;0.0001545764;
4415.7041015625;0.0001565775;
4466.8369140625;0.0001591084;
4518.5590820312;0.0001618040;
4570.8828125000;0.0001642278;
4623.8095703125;0.0001661095;
4677.3520507812;0.0001671619;
4731.5122070312;0.0001676478;
4786.3017578125;0.0001684354;
4841.7231445312;0.0001698078;
4897.7890625000;0.0001717890;
4954.5009765625;0.0001740609;
5011.8730468750;0.0001759768;
5069.9062500000;0.0001773907;
5128.6142578125;0.0001787238;
5187.9995117188;0.0001803963;
5248.0747070312;0.0001826402;
5308.8432617188;0.0001854098;
5370.3183593750;0.0001884739;
5432.5019531250;0.0001916518;
5495.4086914062;0.0001948893;
5559.0410156250;0.0001980571;
5623.4130859375;0.0002009505;
5688.5307617188;0.0002036167;
5754.3994140625;0.0002063792;
5821.0336914062;0.0002096067;
5888.4365234375;0.0002134026;
5956.6225585938;0.0002175777;
6025.5957031250;0.0002204984;
6095.3701171875;0.0002216273;
6165.9497070312;0.0002212357;
